nom_voie,id_type_voie,nom_voie_norm,complement_adresse
RUE SAINT MEDARD,rue,saint medard,
AV  DE FABRON,avenue,de fabron,
LES COMBES,,les combes,
RUE DU MONTEIL,rue,du monteil,
AV  JEAN JAURES,avenue,jean jaures,
RUE DE METZ,rue,de metz,
AV  GALLIENI,avenue,gallieni,
KERLIHOUARN,,kerlihouarn,
RUE DE LA PORTE JAUNE,rue,de la porte jaune,
IMP DES FAUVETTES,impasse,des fauvettes,
RTE DE PARIS N 20,route,de paris n 20,
RUE DE COURTENAY,rue,de courtenay,
RUE CHARLES BASSEE,rue,charles bassee,
CHE LOU CADET,chemin,lou cadet,
CRS JEAN JAURES,cours,jean jaures,
AV  DES DARDANELLES,avenue,des dardanelles,
SQ  DES HAUTES OURMES,square,des hautes ourmes,
RUE DES ARTISANS,rue,des artisans,
RUE DU ONZE NOVEMBRE,rue,du onze novembre,
RUE KERNAY,rue,kernay,
RTE DE LA GRANDE VIE,route,de la grande vie,
CHE DE LA RIVIERE,chemin,de la riviere,
RUE HENRI DUNANT,rue,henri dunant,
RUE FONTAINE COUPE,rue,fontaine coupe,
AV  DE LA PAIX,avenue,de la paix,
RUE DE MONTASINOS,rue,de montasinos,
RTE D EPRETOT,route,d epretot,
RUE DES FAYARDS,rue,des fayards,
AV  DU DAUPHINE,avenue,du dauphine,
RUE EMILE LAGIER,rue,emile lagier,
RUE DES BORDELIERES,rue,des bordelieres,
RUE DU DOCTEUR PLICHON,rue,du docteur plichon,
RUE AIME PINEL,rue,aime pinel,
RUE CARRERE,rue,carrere,
LES GRANGES,,les granges,
RUE DU BOURG,rue,du bourg,
RTE DE SAINT PIERRE,route,de saint pierre,
RUE D ARRAS,rue,d arras,
RUE JAUBERT,rue,jaubert,
RUE DU MOULIN,rue,du moulin,
RUE COTE LEGRIS,rue,cote legris,
AV  DE CHABEUIL,avenue,de chabeuil,
RUE DES BRUYERES,rue,des bruyeres,
RUE NINON VALLIN,rue,ninon vallin,
AV  DES COTEAUX,avenue,des coteaux,
RUE CHARLES LORILLEUX,rue,charles lorilleux,
RES DE L'ARGILIERE,residence,de l argiliere,
LA VACHERIE,,la vacherie,
RUE DE L ECUREUIL,rue,de l ecureuil,
CHE DES CHAMPS,chemin,des champs,
RUE D ESTAIRES,rue,d estaires,
RUE PAUL DEROULEDE,rue,paul deroulede,
CHE DE CARNASSE,chemin,de carnasse,
RUE SAINT GERBOLD,rue,saint gerbold,
ALL DES ERABLES,allee,des erables,
CHE RURAL N 30,chemin,rural n 30,
CHE DES CHASSEURS,chemin,des chasseurs,
RUE JEAN COCTEAU,rue,jean cocteau,
RUE DE LA ROUVRE,rue,de la rouvre,
RUE DU CHAMP DE MARS,rue,du champ de mars,
RUE DE SAINT ROMAIN,rue,de saint romain,
RUE JULES PARENT,rue,jules parent,
AV  DE SAINT-MANDE,avenue,de saint mande,
RUE DE LA HAUTE CROIX,rue,de la haute croix,
AV  DU DOC BELLETRUD,avenue,du doc belletrud,
ALL DES MURIERS,allee,des muriers,
RUE DE CHESNY,rue,de chesny,
RUE PORTE DE FRANCE,rue,porte de france,
SOULA DE L ANDORRA,,soula de l andorra,
RTE DES MALFONDIERES,route,des malfondieres,
RUE D AUTUN,rue,d autun,
RUE DES LILAS,rue,des lilas,
RUE LEON CLADEL,rue,leon cladel,
RTE DU PUY CHARPENTREAU,route,du puy charpentreau,
IMP DES MAZOTS,impasse,des mazots,
CHE DE LA SEYNE A BASTIAN,chemin,de la seyne a bastian,
RUE DES ESTIVEAUX,rue,des estiveaux,
RUE NOTRE DAME DU CHENE,rue,notre dame du chene,
RUE DE PUILBOREAU,rue,de puilboreau,
LA MURE,,la mure,
RUE DE LA CROISETTE,rue,de la croisette,
RUE DE L'ETIE MEUNIERE,rue,de l etie meuniere,
RUE DE NIMEGUE,rue,de nimegue,
RUE DU DOCTEUR DEUTSCH,rue,du docteur deutsch,
BIGNY,,bigny,
LA BOISSIERE,,la boissiere,
LES CLAQUES,,les claques,
RUE DE LA PARCHEMINERIE,rue,de la parcheminerie,
AV  DU COUCHANT,avenue,du couchant,
RUE PIERRE CURIE,rue,pierre curie,
RUE RIXENDIS LORICHES,rue,rixendis loriches,
AV  DE BEAUSEJOUR,avenue,de beausejour,
RUE GALLIENI,rue,gallieni,
PL  DE LA MADELEINE,place,de la madeleine,
RES LES HAUTES PLAINES,residence,les hautes plaines,
RUE D AUXONNE,rue,d auxonne,
FG  RECLUS,faubourg,reclus,
RUE FRANCOIS DELCOS,rue,francois delcos,
CHE DES TERRES BLANCHES,chemin,des terres blanches,
IMP DE LA GARE - PARIGNY,impasse,de la gare parigny,
MOULIN DE GUEHO,moulin,de gueho,
IMP DES FRERES,impasse,des freres,
AV  DE TALMONT,avenue,de talmont,
RUE DU FBG ST AIGNAN,rue,du fbg saint aignan,
LOT Z.A. LES DAGUEYS,lotissement,z a les dagueys,
LA TRESINE,,la tresine,
AV  ESPRIT ARMANDO,avenue,esprit armando,
RUE DE LA GRANDE FONTAINE,rue,de la grande fontaine,
LES VIERES,,les vieres,
ALL DE SAINT CYR,allee,de saint cyr,
AV  LA GRANDE ARMEE,avenue,la grande armee,
RESERVE DE LA TABIACE,,reserve de la tabiace,
VILLIERS NONAINS,,villiers nonains,
RUE DE CHANTELOUP,rue,de chanteloup,
RUE DE L ABATTOIR,rue,de l abattoir,
RUE JEAN BAPTISTE BOISOT,rue,jean baptiste boisot,
RUE LAMBRECHTS,rue,lambrechts,
CHE MARCEL PAGNOL,chemin,marcel pagnol,
RUE DE LA FONTAINE,rue,de la fontaine,
RUE HENRI RICHAUME,rue,henri richaume,
RUE GUYAU,rue,guyau,
RUE DE L AVENIR,rue,de l avenir,
RUE DE DALHAIN,rue,de dalhain,
LES FONTS,,les fonts,
RUE RAMUS,rue,ramus,
RUE DE SAINT QUENTIN,rue,de saint quentin,
RTE DU BLANCHOU,route,du blanchou,
RTE D ESSEY LA COTE,route,d essey la cote,
RUE PETIT CHATEAU,rue,petit chateau,
RUE DU NORDFELD,rue,du nordfeld,
ALL JOSEPH RAVAISOU,allee,joseph ravaisou,
RUE DE LA NATION,rue,de la nation,
L EOUVIERE,,l eouviere,
RUE DU NORD,rue,du nord,
AV  DES TERNES,avenue,des ternes,
RUE DES AIGUILLES,rue,des aiguilles,
RUE JEAN GIRARD MADOUX,rue,jean girard madoux,
RUE DE LA DURANTIERE,rue,de la durantiere,
RUE NEUVE LA CHARDONNIERE,rue,neuve la chardonniere,
RUE DE LA CITADELLE,rue,de la citadelle,
RUE DU CROISTY,rue,du croisty,
QUAI BOISSY D ANGLAS,quai,boissy d anglas,
RUE DE ZELLENBERG,rue,de zellenberg,
RUE MAURICE PERSE,rue,maurice perse,
RUE DE JOUVENCE,rue,de jouvence,
RTE DES PONTHIEUX,route,des ponthieux,
ALL GUTENBERG,allee,gutenberg,
RES DU VAL DE BIEVRE,residence,du val de bievre,
RUE BEAUJON,rue,beaujon,
RUE DE LA LIBERATION,rue,de la liberation,
BD  ANDRE DETOLLE,boulevard,andre detolle,
RUE SUR LE ROND,rue,sur le rond,
RUE PROFESSEUR PAUL SISLEY,rue,professeur paul sisley,
RUE DE LA TOUR,rue,de la tour,
RUE JEAN CHOQUET,rue,jean choquet,
RUE MARCEL CERDAN,rue,marcel cerdan,
RUE DE MONETROI,rue,de monetroi,
RUE P ET A MASSALOUP,rue,p et a massaloup,
RUE DE LA BUISSONNEE,rue,de la buissonnee,
BD  DEVAUX,boulevard,devaux,
CITE DE LA CHAUMIERE,cite,de la chaumiere,
PL  DES ARCADES,place,des arcades,
CHE DES ESPERIERES,chemin,des esperieres,
RUE DU CHEMIN DE LA VILLE,rue,du chemin de la ville,
RUE DU TILLEUL,rue,du tilleul,
MONBUT,,monbut,
AV  EMILE ZOLA,avenue,emile zola,
RUE DE LA SOULANE,rue,de la soulane,
RTE DE BAPAUME,route,de bapaume,
RUE DURANCE,rue,durance,
LES MARCHAIS,,les marchais,
RUE NICOLAS LARBAUD,rue,nicolas larbaud,
AV  GERARD PHILIPE,avenue,gerard philipe,
RUE DU REPOS,rue,du repos,
RUE BLEUN BRUG,rue,bleun brug,
RUE EUGENE FOURNIERE,rue,eugene fourniere,
RUE RENE DESCARTES,rue,rene descartes,
RUE DE GENERAC,rue,de generac,
RTE DE SAINT SIMON,route,de saint simon,
CHE DES GODARDS,chemin,des godards,
ALL DU BEAUVERSANT,allee,du beauversant,
RUE DE TOLBIAC,rue,de tolbiac,
CLOS MARCHAND,clos,marchand,
AV  DE VERDUN,avenue,de verdun,
IMP D OCCITANIE,impasse,d occitanie,
BD  VITAL BOUHOT,boulevard,vital bouhot,
IMP DU CONFLENT,impasse,du conflent,
RUE DES DOMINICAINS,rue,des dominicains,
RUE DE TAILLEBOURG,rue,de taillebourg,
RUE DE LA JUSTICE,rue,de la justice,
RUE DES ARDENNES,rue,des ardennes,
CHE DU PARC VISY,chemin,du parc visy,
BD  SAINT DENIS,boulevard,saint denis,
LES HAIES NEUVES,,les haies neuves,
RUE DE LA RONZADE,rue,de la ronzade,
BOIS DU MAINE SUD,bois,du maine sud,
RUE DU BACHOLET,rue,du bacholet,
