nom_voie,id_type_voie,nom_voie_norm,complement_adresse,Unnamed: 5
AlleeChopin,allee,chopin,,
RueMalka,rue,malka,,
RueSaint-Nicolas,rue,saintnicolas,,
RueJacquesFauquet,rue,jacquesfauquet,,
RuedesMagnolias,rue,desmagnolias,,
RoutedeSaintNazaire,route,desaintnazaire,,
RuedeKerbrech,rue,dekerbrech,,
RueDétaillé,rue,detaille,,
RueduPradou,rue,dupradou,,
RoutedeSaintRomain,route,desaintromain,,
RueClaudePernes,rue,claudepernes,,
RuedelaModure,rue,delamodure,,
RueduMaireAndré,rue,dumaireandre,,
ImpassedesLaiches,impasse,deslaiches,,
LesTroisFontaines,,lestroisfontaines,,
RueduChamprond,rue,duchamprond,,
Ruedel’Abattoir,rue,delabattoir,,
RueAugustinMondon,rue,augustinmondon,,
RueAmbroiseCroizat,rue,ambroisecroizat,,
Rued'Arcy,rue,darcy,,
RuedesJardins,rue,desjardins,,
Ruedel’AncienneMairie,rue,delanciennemairie,,
RueFocrasdeLaneuville,rue,focrasdelaneuville,,
RuedesPâtures,rue,despatures,,
AvenuedesSports,avenue,dessports,,
RueNehoua,rue,nehoua,,
ChemindeNoël,chemin,denoel,,
Ruedel'OrmeGauthier,rue,delormegauthier,,
RueJeanBimar,rue,jeanbimar,,
ResdelaPetiteMareduBout,residence,delapetitemaredubout,,
RuedesOuthieux,rue,desouthieux,,
ChemindeKerwegan,chemin,dekerwegan,,
RueduLiond'Or,rue,duliondor,,
RoutedesBottières,route,desbottieres,,
CheminduMidi,chemin,dumidi,,
RueProfesseurOberling,rue,professeuroberling,,
ChemindelaTour,chemin,delatour,,
AvenuedelaRépublique,avenue,delarepublique,,
RueMaryCassatt,rue,marycassatt,,
ManinghemauVal,,maninghemauval,,
AvenuedelaLibération,avenue,delaliberation,,
ImpassedesPetitesMares,impasse,despetitesmares,,
Béchereau,,bechereau,,
AvenuedeNorthwich,avenue,denorthwich,,
rueJacquesPrévert,rue,jacquesprevert,,
HentBrest,,hentbrest,,
Ruedel'Eglise,rue,deleglise,,
Cheminduguéauxmoines,chemin,dugueauxmoines,,
AvenuedeBordeaux,avenue,debordeaux,,
RouteTouristique,route,touristique,,
RuePenteMorel,rue,pentemorel,,
RueduPréauClair,rue,dupreauclair,,
RueduValCourtois,rue,duvalcourtois,,
rueMarieCurie,rue,mariecurie,,
RuedesLacs,rue,deslacs,,
RueLouisLabauche,rue,louislabauche,,
RuedelaPoste,rue,delaposte,,
ChemindeTaillefer,chemin,detaillefer,,
ImpassedelaPrairie,impasse,delaprairie,,
Chemindel'Hers,chemin,delhers,,
AvenueLucienCohen,avenue,luciencohen,,
RueLucie,rue,lucie,,
RuedeBretigny,rue,debretigny,,
RueCharlesBarreau,rue,charlesbarreau,,
RuedelaStearinerie,rue,delastearinerie,,
RueduDocteurSchweitzer,rue,dudocteurschweitzer,,
RueVermeesch,rue,vermeesch,,
RueJoffre,rue,joffre,,
RueEdouardVaillant,rue,edouardvaillant,,
RueGastonContremoulins,rue,gastoncontremoulins,,
RuedelaFontaine,rue,delafontaine,,
RueCharlesLenepveu,rue,charleslenepveu,,
RoutedeVillard,route,devillard,,
Rueduchaigneau,rue,duchaigneau,,
RuedesBoisBlancs,rue,desboisblancs,,
RueJeanJaures,rue,jeanjaures,,
RoutedelaLoire,route,delaloire,,
RoutedesCrêtes,route,descretes,,
CitédePusy,cite,depusy,,
ImpassedelaMalayrie,impasse,delamalayrie,,
RueAlphonseDaudet,rue,alphonsedaudet,,
RueGeoffroydeMelesse,rue,geoffroydemelesse,,
Ruedel'Abreuvoir,rue,delabreuvoir,,
RueNationale,rue,nationale,,
PlaceFrédéricBastiat,place,fredericbastiat,,
RueduBarry,rue,dubarry,,
RuedelaHougue,rue,delahougue,,
RuedeChateauneuf,rue,dechateauneuf,,
RueduQuatreSeptembre,rue,duquatreseptembre,,
RueduCheminNeuf,rue,ducheminneuf,,
lotissementleclosdeflassieu,lotissement,leclosdeflassieu,,
AvenuedeGrasse,avenue,degrasse,,
ChemindesBrochiers,chemin,desbrochiers,,
ruejuiverie,rue,juiverie,,
CheminduMoulin-à-vent,chemin,dumoulinavent,,
RuedelaPecherie,rue,delapecherie,,
RoutedeSonzay,route,desonzay,,
RuedeBihorel,rue,debihorel,,
RuedesBonnets,rue,desbonnets,,
CheminduLavoir,chemin,dulavoir,,
Rued'Alsace,rue,dalsace,,
RueAlbertThomas,rue,albertthomas,,
leSable,,lesable,,
rueAlbertLouppe,rue,albertlouppe,,
RueEmileViolet,rue,emileviolet,,
LaBarre,,labarre,,
RoutedeMontillot-LACSAUVIN,route,demontillotlacsauvin,,
laGuinanderie,,laguinanderie,,
AlleedesCarreaux,allee,descarreaux,,
ChemindelaPointedeJouveauàl'Ormeau,chemin,delapointedejouveaualormeau,,
MontéeduSavel,montee,dusavel,,
RueJeanJaurès,rue,jeanjaures,,
RueJeanFerrat,rue,jeanferrat,,
RoutedesLevées,route,deslevees,,
Routedetours,route,detours,,
RuedeBourgoin,rue,debourgoin,,
RueJacqueline,rue,jacqueline,,
RueduSoufflier,rue,dusoufflier,,
RuedesAcacias,rue,desacacias,,
RuedelaVoieRomaine,rue,delavoieromaine,,
MoulindeFayet,moulin,defayet,,
RoutedeToulouse,route,detoulouse,,
RueBachaumont,rue,bachaumont,,
RueRaymondQueneau,rue,raymondqueneau,,
PassageduGazomètre,passage,dugazometre,,
RueduMoulind'Anne,rue,dumoulindanne,,
RuedeVillars,rue,devillars,,
RueduFief,rue,dufief,,
RueGabrielFaure,rue,gabrielfaure,,
AvenuedeSaint-Andiol,avenue,desaintandiol,,
RueVictorMalo,rue,victormalo,,
Chaux,,chaux,,
ChemindesPelicans,chemin,despelicans,,
RueGabrielMarteau,rue,gabrielmarteau,,
AlléeduPetitRobinson,allee,dupetitrobinson,,
Routed’Auteyrac,route,dauteyrac,,
labricaudiere,,labricaudiere,,
RueauxFebvres,rue,auxfebvres,,
RueFernandClerc,rue,fernandclerc,,
RuePierreLoti,rue,pierreloti,,
RueduPresbytère,rue,dupresbytere,,
ZALesSauzets,zonedactivites,lessauzets,,
Placedu14Juillet,place,du14juillet,,
RueChallemelLacour,rue,challemellacour,,
RuedesHagis,rue,deshagis,,
ImpasseduCitrier,impasse,ducitrier,,
RoutedeSaintMichel,route,desaintmichel,,
ImpassedesRéages,impasse,desreages,,
RuedeChamouilley,rue,dechamouilley,,
RuedesRenardières,rue,desrenardieres,,
RuedesBrégères,rue,desbregeres,,
chemindelescuras,chemin,delescuras,,
Ruedel’OuchedesChevalliers,rue,delouchedeschevalliers,,
RueduBarrage,rue,dubarrage,,
RueRoberval,rue,roberval,,
Boulevarddetrittau,boulevard,detrittau,,
RuedesVignes,rue,desvignes,,
RouteduHameauNeez,route,duhameauneez,,
Rueduparterre,rue,duparterre,,
ImpassedelaGoulonnière,impasse,delagoulonniere,,
QuaiFulchiron,quai,fulchiron,,
RoutedesClues,route,desclues,,
RueduCommandeur,rue,ducommandeur,,
PlaceduMonument,place,dumonument,,
RueLesdiguières,rue,lesdiguieres,,
AlléedesAmandines,allee,desamandines,,
RueXavierDezeuze,rue,xavierdezeuze,,
Chemindupêcher,chemin,dupecher,,
RoutedeLoire,route,deloire,,
RoutedeChamptercier,route,dechamptercier,,
ImpasseLeVeloux,impasse,leveloux,,
Avenuedelapelleàporteau,avenue,delapelleaporteau,,
RueduCollege,rue,ducollege,,
RoutedeSaintMartin,route,desaintmartin,,
RueduGrèsdesOliviers,rue,dugresdesoliviers,,
RueDupré,rue,dupre,,
RueMauriceRavel,rue,mauriceravel,,
RueEnGrivaux,rue,engrivaux,,
RuedelaChaume,rue,delachaume,,
RuedelaGare,rue,delagare,,
RueduVieuxChêne,rue,duvieuxchene,,
RuedesBenelles,rue,desbenelles,,
RuedelaLiberation,rue,delaliberation,,
Ruebranly,rue,branly,,
PlacedelaResistance,place,delaresistance,,
LaGontardière(Jallais),,lagontardierejallais,,
RueduCampdeGiblou,rue,ducampdegiblou,,
RueLouisLumière,rue,louislumiere,,
RueCharlesPalier,rue,charlespalier,,
RueArsèneHoussaye,rue,arsenehoussaye,,
RuePierreBrossolette,rue,pierrebrossolette,,
RueduLevant,rue,dulevant,,
AlleedePreboeuf,allee,depreboeuf,,
AlleeMauriceUtrillo,allee,mauriceutrillo,,
RuedesPalourdes,rue,despalourdes,,
ruefrédéricpassy,rue,fredericpassy,,
CourEugène,cour,eugene,,
ChemindesDames,chemin,desdames,,
Avenueantoinecasubolo,avenue,antoinecasubolo,,
RuedesMaquisards,rue,desmaquisards,,
RueLeonBernard,rue,leonbernard,,
AvenueduMaréchalFoch,avenue,dumarechalfoch,,
RueCavéedesPatisDoux,rue,caveedespatisdoux,,
RoutedePennayen,route,depennayen,,
RoutedeBoisMartin,route,deboismartin,,
RuedelaCroixdePommier,rue,delacroixdepommier,,
PetitPenderf,,petitpenderf,,
RuedeNormandie,rue,denormandie,,
RueduHameau,rue,duhameau,,
RuedelaGagnerie,rue,delagagnerie,,
Rueduprésidentdegaulle,rue,dupresidentdegaulle,,
alléedel'OrneChampenoise,allee,delornechampenoise,,
RuedesEglantiers,rue,deseglantiers,,
RueBarbanègre,rue,barbanegre,,
RuedelaBresse,rue,delabresse,,
AlléedesPrésVerts,allee,despresverts,,
RueDramard,rue,dramard,,
RuePaulRemi,rue,paulremi,,
RuedeSombreuil,rue,desombreuil,,
RuedesLilas,rue,deslilas,,
RouteduRedondet,route,duredondet,,
RuedeFrise,rue,defrise,,
LaMochetiere,,lamochetiere,,
Cheminchezfresney,chemin,chezfresney,,
ImpasseRebotton,impasse,rebotton,,
RueLamartine,rue,lamartine,,
ChemindesQuatreChemins,chemin,desquatrechemins,,
RueduViou,rue,duviou,,
Ruedu4Septembre,rue,du4septembre,,
RueFontenette,rue,fontenette,,
RueBernardGayet,rue,bernardgayet,,
RuedelaLouviere,rue,delalouviere,,
AvenueJoannèsMasset,avenue,joannesmasset,,
impassedes4chemins,impasse,des4chemins,,
CheminduPetitPanloup,chemin,dupetitpanloup,,
RoutedePontoise,route,depontoise,,
RoutedeCrangeat,route,decrangeat,,
rueJeanAicard,rue,jeanaicard,,
AvenueduStade,avenue,dustade,,
RoutedelaCarrière,route,delacarriere,,
RueBrehart,rue,brehart,,
RouteduRohu,route,durohu,,
ChedelaMalette,chemin,delamalette,,
RouteduCambon,route,ducambon,,
RuedesCharmes,rue,descharmes,,
ImpasseduVieuxChautards,impasse,duvieuxchautards,,
RueChamplain,rue,champlain,,
RueduMartinet,rue,dumartinet,,
AvenueGrassionCibrand,avenue,grassioncibrand,,
RueJulesVerne,rue,julesverne,,
ImpasseduLavoir,impasse,dulavoir,,
RuedelaCremade,rue,delacremade,,
RueduMaréchalLeclerc,rue,dumarechalleclerc,,
ChemindelaVire,chemin,delavire,,
ImpassedeKergus,impasse,dekergus,,
AvenuedeCourcelles,avenue,decourcelles,,
QuartierduCastéra,quartier,ducastera,,
rueHubertLatham,rue,hubertlatham,,
RuedeLomme,rue,delomme,,
CheminduBourdary,chemin,dubourdary,,
AvenueTheoduleLafontaine,avenue,theodulelafontaine,,
RuedelaFaurie,rue,delafaurie,,
CheminCanot,chemin,canot,,
routedecastéra,route,decastera,,
AlleedesBleuets,allee,desbleuets,,
Ruedelabarcy,rue,delabarcy,,
CheminNeuf,chemin,neuf,,
RueduPrêche,rue,dupreche,,
Avenuedeschâteaux,avenue,deschateaux,,
Routedecorzent,route,decorzent,,
RuedelaJuiverie,rue,delajuiverie,,
Ruedes22Martyrs,rue,des22martyrs,,
RueJeanGiono,rue,jeangiono,,
AvenuedelaCornicheSupérieure,avenue,delacornichesuperieure,,
CheminThéodoreAubanel,chemin,theodoreaubanel,,
RuedeChauffecourt,rue,dechauffecourt,,
ChemindesClouyaux,chemin,desclouyaux,,
RueduPontBlanc,rue,dupontblanc,,
LaRobinerie,,larobinerie,,
RouteduPerrier,route,duperrier,,
Beaulieu(Beaupréau),,beaulieubeaupreau,,
RuedelaGrange,rue,delagrange,,
ruedePorzHaor,rue,deporzhaor,,
leMarais,,lemarais,,
CiteduMoulin,cite,dumoulin,,
RoutedelaRivière,route,delariviere,,
ChemindelaVoleine,chemin,delavoleine,,
RueduCèdre,rue,ducedre,,
Ruedeschardonnerets,rue,deschardonnerets,,
RueduBocage,rue,dubocage,,
Ruedel’EgliseSaintJoseph,rue,deleglisesaintjoseph,,
HameaudeSancy,hameau,desancy,,
ResidenceDelacroix,residence,delacroix,,
RuedesAlouettes,rue,desalouettes,,
Bartouénas,,bartouenas,,
Alléedel'Ecu,allee,delecu,,
LesTarteaux,,lestarteaux,,
lesCLAVELIERES-BASSES,,lesclavelieresbasses,,
RueGarianne,rue,garianne,,
chemindelacombelle,chemin,delacombelle,,
RueCorbierThiébaut,rue,corbierthiebaut,,
RueCharlesBaudelaire,rue,charlesbaudelaire,,
RueduGenievre,rue,dugenievre,,
AlléeduPuyroger,allee,dupuyroger,,
RueJeanMermoz,rue,jeanmermoz,,
AvenueAlbertGleizes,avenue,albertgleizes,,
RuedelaSource,rue,delasource,,
RueCharlieChaplin,rue,charliechaplin,,
RoutedesCommunes,route,descommunes,,
RuedesPerdrix,rue,desperdrix,,
RueGalin,rue,galin,,
RoutedeChiseuil,route,dechiseuil,,
Routedes13Vents,route,des13vents,,
avenueJeanMermoz,avenue,jeanmermoz,,
RueLouisLacassagne,rue,louislacassagne,,
RueduColombier,rue,ducolombier,,
RouteduDrouilla,route,dudrouilla,,
CheminDeousHours,chemin,deoushours,,
RueHenriBarbusse,rue,henribarbusse,,
RueLeonGambetta,rue,leongambetta,,
RueduLiseron,rue,duliseron,,
RuedelaCorvée,rue,delacorvee,,
ChemindesMurets,chemin,desmurets,,
RuedesMoulinsàVent,rue,desmoulinsavent,,
RoutedeDuras,route,deduras,,
RueAdolpheMurbach,rue,adolphemurbach,,
RueTraversiere,rue,traversiere,,
RuedesSéjots,rue,dessejots,,
RueBlanqui,rue,blanqui,,
ChemindelaBoucle,chemin,delaboucle,,
ImpasseHenriDuhamel,impasse,henriduhamel,,
Routed’Hadigny,route,dhadigny,,
RésidencelesAlizesdelaBateliere,residence,lesalizesdelabateliere,,
AlléedesCévennes,allee,descevennes,,
RoutedePiauEngaly,route,depiauengaly,,
CarrerdelaRibera,,carrerdelaribera,,
CheminduLieudeVillers,chemin,dulieudevillers,,
RueRachais,rue,rachais,,
AlléeduBoisdelaCour,allee,duboisdelacour,,
RuedeDeauville,rue,dedeauville,,
RouteD'Objat,route,dobjat,,
PromenadeMarie-Paradis,promenade,marieparadis,,
LaChoquerie,,lachoquerie,,
Ruedu8mai1945,rue,du8mai1945,,
RoutedeRans,route,derans,,
RueSaintGervais,rue,saintgervais,,
RuedesCapucines,rue,descapucines,,
RoutedeLestrade,route,delestrade,,
GrascazesHautes,,grascazeshautes,,
AvenueduVercors,avenue,duvercors,,
RuedelaBelleAurore,rue,delabelleaurore,,
RuedeMontereau,rue,demontereau,,
RuedelaPacterie,rue,delapacterie,,
Routed’Apt,route,dapt,,
AvenueduMaréchalDeLattreDeTassigny,avenue,dumarechaldelattredetassigny,,
RuedelaCroixdesFossés,rue,delacroixdesfosses,,
RouteduPassage,route,dupassage,,
RuedelaCharmille,rue,delacharmille,,
RueSaint-Marc,rue,saintmarc,,
RueMariusLacroix,rue,mariuslacroix,,
RoutedeSaintDésiré,route,desaintdesire,,
Placedel’Orangerie,place,delorangerie,,
RuedeVerdun,rue,deverdun,,
rueVoltaire,rue,voltaire,,
LaRehondais,,larehondais,,
Routedel'IsledeNoé,route,delisledenoe,,
Réclavier,,reclavier,,
Boulevarddescigales,boulevard,descigales,,
RueduSauvignon,rue,dusauvignon,,
PlaceAbbatiale,place,abbatiale,,
ChemindeTrets,chemin,detrets,,
CheminCathérine,chemin,catherine,,
AlleeduBoisdel’Orient,allee,duboisdelorient,,
RuedeRuelisheim,rue,deruelisheim,,
RueGambetta,rue,gambetta,,
Kérouant,,kerouant,,
RueJeanDeNeufbourg,rue,jeandeneufbourg,,
Lustrande,,lustrande,,
RuedesPuits,rue,despuits,,
RoutedelaChapelledeRousse,route,delachapellederousse,,
CheminduBoisleRenard,chemin,duboislerenard,,
ImpassedesPetrels,impasse,despetrels,,
RuedeDomart,rue,dedomart,,
Ruedel'Alizarine,rue,delalizarine,,
RuedesCerisiers,rue,descerisiers,,
AvenuedelaColombe,avenue,delacolombe,,
RueMillassot,rue,millassot,,
RuedelaMairie,rue,delamairie,,
RueGastonBachelard,rue,gastonbachelard,,
RuedeFaulette,rue,defaulette,,
RueMarcelCerdan,rue,marcelcerdan,,
RouteduFaubourg,route,dufaubourg,,
RueduComted'Hastrel,rue,ducomtedhastrel,,
RuedeCombes,rue,decombes,,
AvenueJeanMonnet,avenue,jeanmonnet,,
ResidenceduMontsorel,residence,dumontsorel,,
AlleedesCharmes,allee,descharmes,,
Avenuedemazargues,avenue,demazargues,,
ImpassedesVieuxFours,impasse,desvieuxfours,,
RueCossart,rue,cossart,,
ChemindesServes,chemin,desserves,,
CheminXoriekin,chemin,xoriekin,,
RueduPrado,rue,duprado,,
QuaiRogerMorin,quai,rogermorin,,
Avenuedel'Epinette,avenue,delepinette,,
AlleeduTaravo,allee,dutaravo,,
RuedesPeupliers,rue,despeupliers,,
RésidencePenarCosquer,residence,penarcosquer,,
RuedelaHaudy,rue,delahaudy,,
RueduRhône,rue,durhone,,
AlléedesArbousiers,allee,desarbousiers,,
RuedesSaussaies,rue,dessaussaies,,
RuedesSablons,rue,dessablons,,
Rued’Harponville,rue,dharponville,,
RuedesJardinsResal,rue,desjardinsresal,,
RueHenriBOISSERY,rue,henriboissery,,
AvenuedelaCombe,avenue,delacombe,,
RueGeorgesCuvier,rue,georgescuvier,,
Ruedebeauvoir,rue,debeauvoir,,
Impassedescastors,impasse,descastors,,
LotissementHameaudesLavandes,lotissement,hameaudeslavandes,,
RueGeneralAbbatucci,rue,generalabbatucci,,
ChemindesMazes,chemin,desmazes,,
RueduPetitRouillac,rue,dupetitrouillac,,
ChemindeKerdivuzit,chemin,dekerdivuzit,,
AvenuedesForges,avenue,desforges,,
RueduLampaden,rue,dulampaden,,
AvenuedelaMorinie,avenue,delamorinie,,
rueduSquare,rue,dusquare,,
RueLafayette,rue,lafayette,,
ChemindesEvettes,chemin,desevettes,,
BoulevardClemenceau,boulevard,clemenceau,,
RueduBourgneuf,rue,dubourgneuf,,
ChemindeChadenègue,chemin,dechadenegue,,
RoutedeBreuil,route,debreuil,,
AvenuedesRoches,avenue,desroches,,
ChemindelaCote,chemin,delacote,,
routedupuits,route,dupuits,,
RuedesTerresNoires,rue,desterresnoires,,
CheminHervéBaïsse,chemin,hervebaisse,,
RouteduVignoble,route,duvignoble,,
Ruedelatresson,rue,delatresson,,
RueMontdidier,rue,montdidier,,
RueduDonjon,rue,dudonjon,,
RueduPrieuré,rue,duprieure,,
ChemindesLimites,chemin,deslimites,,
RuedesPlages,rue,desplages,,
Ruearthuryoung,rue,arthuryoung,,
RueduParcoMalio,rue,duparcomalio,,
L'Auviere,,lauviere,,
RueFondeRache,rue,fonderache,,
RuedesGoudoux,rue,desgoudoux,,
ImpassedesMarettes,impasse,desmarettes,,
AlleeGounod,allee,gounod,,
RuedelaGrassePayelle,rue,delagrassepayelle,,
RueCollet,rue,collet,,
ChemindesChampsduGraoux,chemin,deschampsdugraoux,,
RuedeDarbousset,rue,dedarbousset,,
