nom_voie,id_type_voie,nom_voie_norm,complement_adresse
Rue des Pyrénées Résidence les 5 châteaux,rue,des pyrenees,residence les 5 chateaux
Rue Hector Berlioz Pavillon 19,rue,hector berlioz,pavillon 19
Avenue des Sports Res Emile Zola,avenue,des sports,res emile zola
Résidence les Béguinages 5 allée Étienne Guéroult,allee,etienne gueroult,residence les beguinages 5
Rue Aristide Briand Imp No 2,rue,aristide briand,imp no 2
"Rue Selbonne, Lot.levilain",rue,selbonne,lot levilain
Rue Cappel Straete Vc 6,rue,cappel straete,vc 6
Ty Glas Route de Fouesnant,route,de fouesnant,ty glas
"Residence les Oliviers, 49 route d'Apt",route,d apt,residence les oliviers 49
Rue des Enclos Voie No 2,rue,des enclos,voie no 2
Rue République Res Hortensias,rue,republique,res hortensias
Les Reux-Route de Moulins,route,de moulins,les reux
Impasse N 204 Chemin des Dupines,chemin,des dupines,impasse n 204
Rue Raismes Cte Arenberg All E,rue,raismes cte arenberg,all e
chemin de fabregas aux moulieres (vc 101),chemin,de fabregas aux moulieres,vc 101
Impasse 246 Rue Auguste Chevallier,rue,auguste chevallier,impasse 246
Rue de Merckeghem Vc 10,rue,de merckeghem,vc 10
Lotissement le Mas des Amandiers Chemin du Rieu,chemin,du rieu,lotissement le mas des amandiers
Foyer J Lassalle Rue V Del,rue,v del,foyer j lassalle
Les Zodors (Rue des Zodors),rue,des zodors,les zodors
Impasse B route de la Boissonnette,route,de la boissonnette,impasse b
route de janas (vc 202),route,de janas,vc 202
Rue des Blés Dorés - Hameau de Grand Marché,rue,des bles dores,hameau de grand marche
Chemin Cordier (rte Clairmarais),route,clairmarais,chemin cordier
Rue des Acacias Res les Mesang,rue,des acacias,res les mesang
Rue Sadi Coupez Résidence Gostiaux,rue,sadi coupez,residence gostiaux
108 Rue du Theil,rue,du theil,108
Impasse Résistance Résidence Les Pins,impasse,resistance,residence les pins
1 Place de la Mairie,place,de la mairie,1
Residence Robespierre Rue Robespierre,rue,robespierre,residence robespierre
Rue Noël Perrot-Berton (voie privée),rue,noel perrot berton,voie privee
Lotissement Ferinel - Domaine de Carsac,lotissement,ferinel,domaine de carsac
chemin arnaud (vc 233),chemin,arnaud,vc 233
"Résidence Nelson , Rue E.chaufrein",rue,e chaufrein,residence nelson
Rue Notre Dame - Hameau de Vertigneul,rue,notre dame,hameau de vertigneul
Résidence les Sources Rue Croqu'Ane,rue,croqu ane,residence les sources
45 Rue de la Fosse aux Chats,rue,de la fosse aux chats,45
Monna Rue de la Filature,rue,de la filature,monna
latga - rue de lachamp,rue,de lachamp,latga
Impasse Jayet (voie privée),impasse,jayet,voie privee
Rue Bethune Res les 3 Tilleuls,rue,bethune,res les 3 tilleuls
chemin de bremond (vc 130),chemin,de bremond,vc 130
Rue de l'Eglise Hameau Laval,rue,de l eglise,hameau laval
Résidence les Chardonnerets Rue Berl,rue,berl,residence les chardonnerets
Résidence de Lezian Chemin du Régis,chemin,du regis,residence de lezian
Rue du Chateau-ham Flandres,rue,du chateau,ham flandres
Impasse de la Vieille Ferme (voie privée),impasse,de la vieille ferme,voie privee
Impasse 220 Rue des Tulipes,rue,des tulipes,impasse 220
Lotissement Bosquet Cd15 Rte de Rognes,route,de rognes,lotissement bosquet cd 15
Impasse Demezieres Rue Gustave Delory,rue,gustave delory,impasse demezieres
Parc de Libremont Malzeville Batiment a,parc,de libremont malzeville,batiment a
Rue de Bruenne Res Leconte,rue,de bruenne,res leconte
Rue de l'Etang - Hameau de Grand Marché,rue,de l etang,hameau de grand marche
23 Rue Pont de Verteuil,rue,pont de verteuil,23
chemin de daniel (vc 122),chemin,de daniel,vc 122
Chemin Departemental 5 Rte de St Vallier,route,de saint vallier,chemin departemental 5
Rue Verimetz Res St Exupery,rue,verimetz,res saint exupery
Rue Wisla Res de l'Europe,rue,wisla,res de l europe
chemin de mar-vivo a la verne (vc 245),chemin,de mar vivo a la verne,vc 245
Imm le Beguinage Rue des O,rue,des o,immeuble le beguinage
avenue Jean Moulin Résidence Saint Michel,avenue,jean moulin,residence saint michel
Chemin Par dé Jourdy - quartier Par dé Jourdy,chemin,par de jourdy,quartier par de jourdy
RD 2085 Route de Nice,route,de nice,rd 2085
1S2 Impasse des Deux Néthes,impasse,des deux nethes,1 s 2
Cami du Soubiau - Hameau de Cazaux Fréchet,hameau,de cazaux frechet,cami du soubiau
Les Alouettes - rue de la Moignerie,rue,de la moignerie,les alouettes
D130 Route de la Gabaudiere,route,de la gabaudiere,d 130
Résidence les Mouettes 1 - Avenue Joliot-Curie,avenue,joliot curie,residence les mouettes 1
Résidence Solange Rue de Bréxent,rue,de brexent,residence solange
Lotissement la Farigoule - Rue de la Farigoule,rue,de la farigoule,lotissement la farigoule
Lot Les Prés de l'ile rue Ancien Arsenal Militaire,rue,ancien arsenal militaire,lot les pres de l ile
Route de Redoute Voie No 20,route,de redoute,voie no 20
31 Rue Stéphen Liégeard,rue,stephen liegeard,31
Impasse de la Providence Lotissement de Combemiane,impasse,de la providence,lotissement de combemiane
Lotissement le Parc Albert - 563 route du Stade,route,du stade,lotissement le parc albert 563
Route de Villiers Ham de Crogis,route,de villiers,ham de crogis
Rue Rougeville Res les Forges,rue,rougeville,res les forges
Rue de l'Eglise Hameau d 'Henriez,rue,de l eglise,hameau d henriez
Rue Emile Zola Cour Laymond,rue,emile zola,cour laymond
chemin de l'oide (vc 102),chemin,de l oide,vc 102
Route de l’Isle / avenue de la 2e DB,route,de l isle,avenue de la 2 e db
Rue Leon Muller Cite Dincq,rue,leon muller,cite dincq
Voie de Mingette -Quartier de Gouts,voie,de mingette,quartier de gouts
Rue de la Plaine Lotissement le Roux,rue,de la plaine,lotissement le roux
Square Canavalia Place d'Armes,place,d armes,square canavalia
chemin de fabregas (vc 7),chemin,de fabregas,vc 7
rue des Grives - Lotissement Les Jardins de Calens,rue,des grives,lotissement les jardins de calens
Rue des Boutilliers-Voie 3,rue,des boutilliers,voie 3
68 Rue Jean Jaurès,rue,jean jaures,68
Impasse Maurice RAVEL - Lotissement La clé de sol,impasse,maurice ravel,lotissement la cle de sol
Rue du Rivage Res Y Nison,rue,du rivage,res y nison
Rue de la Rivoire (voie privée),rue,de la rivoire,voie privee
Residence Charmes C 34 Pl Champ Vill,place,champ vill,residence charmes c 34
Lotissement la tourelle chemin du forage,chemin,du forage,lotissement la tourelle
Résidence la Poudrerie Rue B Chochoy,rue,b chochoy,residence la poudrerie
75 Chemin de Guiraudette,chemin,de guiraudette,75
Impasse de Charny (ham Chaillot),impasse,de charny,ham chaillot
Cours Lancelle Rue du 4 Septembr,rue,du 4 septembr,cours lancelle
chemin leon mary (vc 124),chemin,leon mary,vc 124
Route du VELODROME - RUE PAUL NIELLY,rue,paul nielly,route du velodrome
"Impasse Jules Valles, Lotissement les Adreyts",impasse,jules valles,lotissement les adreyts
Chemin des Postes/res du Lac,chemin,des postes,res du lac
chemin des restanques (vc 234),chemin,des restanques,vc 234
rue de la Landelle Residence de la Landelle,rue,de la landelle,residence de la landelle
Premiere Partie Vlg Viller,village,viller,premiere partie
Cité du Chene Raoult Rue à,cite,du chene raoult,rue a
Chemin des Moulins Vc 2,chemin,des moulins,vc 2
ZI de la Vau Salmon Impasse Vau Salmon,impasse,vau salmon,zi de la vau salmon
Chemin des Puits Lotissement les Cerisiers,chemin,des puits,lotissement les cerisiers
Residence Vauban Ave Victor Hugo,avenue,victor hugo,residence vauban
Allée 31 Rue de Trianon,rue,de trianon,allee 31
Résidence Dubiniere R St Germai,rue,saint germai,residence dubiniere
1 Hlm les Balcons du Mont d’Or,hlm,les balcons du mont d or,1
Route du Byssaert Vc 301,route,du byssaert,vc 301
La Forge de Reynès Route d’Amélie,route,d amelie,la forge de reynes
Chemin du Coupet - VC 206,chemin,du coupet,vc 206
chemin de la colline (vc 164),chemin,de la colline,vc 164
Résidence Pablo Picasso Rue Maubeuge,rue,maubeuge,residence pablo picasso
Residence les Roses Rue d'Assevent,rue,d assevent,residence les roses
Résidence les Loges Rue M Willot,rue,m willot,residence les loges
Chemin des Barrières Terrain Curi,chemin,des barrieres,terrain curi
100P5 Rue de Reuilly,rue,de reuilly,100 p 5
Impasse de Broglie Lotissement le Verger,impasse,de broglie,lotissement le verger
Lotissement les Balisiers Voie a,lotissement,les balisiers,voie a
Lotissement les Rivieres 150 chemin de la lergue,chemin,de la lergue,lotissement les rivieres 150
Cd 5f Rte des Jardins,route,des jardins,cd 5 f
Allée des Vignes (voie privée),allee,des vignes,voie privee
Voie 2 Route de Maudette,route,de maudette,voie 2
147P65 Rue Cardinet,rue,cardinet,147 p 65
Residence les Hortensias Rue P. M.f.,rue,p m f,residence les hortensias
Rue du Patis - Hameau de Grand Marché,rue,du patis,hameau de grand marche
9 Rue du Bois de Bépraux,rue,du bois de bepraux,9
Route de Guillaumes Hameau d''Enriez,route,de guillaumes,hameau d enriez
1Z1 Cité Beauharnais,cite,beauharnais,1 z 1
Résidence Jean Huchez Rue Emile Zola,rue,emile zola,residence jean huchez
Citè du Nord R J Duquesne,rue,j duquesne,cite du nord
Orzy Bloc Pasteur,,orzy,bloc pasteur
Chemin du Rieufreche - Hameau de Laudou,chemin,du rieufreche,hameau de laudou
Rue Reneville Voie No 7,rue,reneville,voie no 7
"Résidence Châtelet, rue Achille Châtelet",rue,achille chatelet,residence chatelet
Lotissement l’Hermitage 730 Che Rastel,chemin,rastel,lotissement l hermitage 730
Parvis Notre-Dame Place Jean-Paul II,place,jean paul ii,parvis notre dame
Les Brandes Sud /rte Noire,route,noire,les brandes sud
chemin jean ghibaudo (vc 150),chemin,jean ghibaudo,vc 150
Residence Blancs Mant All des Abeill,allee,des abeill,residence blancs mant
chemin du bord de mer (vc 206),chemin,du bord de mer,vc 206
Résidence Henri Matisse Pl du Marché,place,du marche,residence henri matisse
Route Aulnoy R Bois de Charmes,rue,bois de charmes,route aulnoy
1S2 Impasse des Orteaux,impasse,des orteaux,1 s 2
Residence la Pommeraie Rue S Allende,rue,s allende,residence la pommeraie
Rue d’Argentan - Allée F,rue,d argentan,allee f
Rue d’Alençon - Allée I,rue,d alencon,allee i
Rue de Mont-sur-Loir ZI de Mont-sur-Loir Château-du-Loir,rue,de mont sur loir,zi de mont sur loir chateau du loir
631 Route de la plagne,route,de la plagne,631
Passage 143 Rue des Roissys,rue,des roissys,passage 143
Villeneuve VOIE B,,villeneuve,voie b
2 Rue saint Germain,rue,saint germain,2
Rue de l'Europe Résidence Robert Schuman,rue,de l europe,residence robert schuman
Voie Communale les Cloches Rue Germinal,rue,germinal,voie communale les cloches
Rond-point Carrefour Clément Six,carrefour,clement six,rond point
Chemin de Sarès et Prélong - Hameau de Malaïgue,chemin,de sares et prelong,hameau de malaigue
Les Jonquilles Chemin de l'Orge,chemin,de l orge,les jonquilles
chemin de l'evescat (vc 108),chemin,de l evescat,vc 108
Impasse du Suquet - Hameau des Rives,impasse,du suquet,hameau des rives
Domaine du Moulin Rte de Merlimont,route,de merlimont,domaine du moulin
Rue des Merisiers Résidence des Merisiers,rue,des merisiers,residence des merisiers
Impasse du 116 Boulevard Guy Chouteau,boulevard,guy chouteau,impasse du 116
chemin de la seyne a bastian (vc 2),chemin,de la seyne a bastian,vc 2
Residence le Hainaut Ave Leo Lagrang,avenue,leo lagrang,residence le hainaut
"ZI les Mélincols, Chemin de Salgret",chemin,de salgret,zi les melincols
Plein Soleil Voie A,,plein soleil,voie a
Impasse 30 Rue de la lignière,rue,de la ligniere,impasse 30
Cité de la Verrerie Allée 1,cite,de la verrerie,allee 1
chemin jacques casanova (vc 111),chemin,jacques casanova,vc 111
voie 6 route de fouché,route,de fouche,voie 6
Lotissement Jardins de la Gare Av Foch,avenue,foch,lotissement jardins de la gare
Rue du Batadou lotissement le Claron,rue,du batadou,lotissement le claron
Straed Kervalan (Rue Kervalan),rue,kervalan,straed kervalan
Lotissement La Régus Rue des Lavandes,rue,des lavandes,lotissement la regus
Les Peupliers Hlm Pl Beaus,place,beaus,les peupliers hlm
Le Clos des Assorts Avenue de la République,avenue,de la republique,clos des assorts
Chemin Departemental 29 Rte de Graveson,route,de graveson,chemin departemental 29
16 Rue du Maréchal Foch,rue,du marechal foch,16
Citè du Nord Rue J Catelas,rue,j catelas,cite du nord
Clos des Lices / All Bernaches,allee,bernaches,clos des lices
Actipôle de la Mine Rue du Stade,rue,du stade,actipole de la mine
Voie a Allee Desire Nuissier,allee,desire nuissier,voie a
Rue Pasteur Imp du Couroeuvre,rue,pasteur,imp du couroeuvre
Rue Herbert Clos Neuf,rue,herbert,clos neuf
Cheminement des Acacias Vc 13,cheminement,des acacias,vc 13
Résidence Nord Banc Rue Noguères,rue,nogueres,residence nord banc
Résidence du Moulin de Monsieur Charles 200 Chemin des Lauriers Roses,chemin,des lauriers roses,residence du moulin de monsieur charles 200
Rue Emile Igner Rés G. Loy,rue,emile igner,res g loy
Les Pétillons Maison Neuve,maison,neuve,les petillons
Rue Super Corail Residence Panoramer,rue,super corail,residence panoramer
Lotissement le Clos des Sablons - rue du Clos des Sablons,rue,du clos des sablons,lotissement le clos des sablons
impasse la treize voie 3,impasse,la treize,voie 3
La Croix des Ormes - Chemin de la Giraudière,chemin,de la giraudiere,croix des ormes
RD 261 Route de Villecomtal,route,de villecomtal,rd 261
7 Chemin de la Riviere,chemin,de la riviere,7
Residence les Pins Rue J Carlier,rue,j carlier,residence les pins
Avenue Clémenceau Res Harpignies,avenue,clemenceau,res harpignies
Impasse des colombes - Lotissement des champs d'oiseaux,impasse,des colombes,lotissement des champs d oiseaux
Lotissement Nid Fam. All Rossign.,allee,rossign,lotissement nid fam
1Z1 Rue Bonnet,rue,bonnet,1 z 1
Rue du Plantier (voie privée),rue,du plantier,voie privee
Cr 5 Chemin de Garrot,chemin,de garrot,cr 5
chemin des quatre vents (vc 151),chemin,des quatre vents,vc 151
Grande Rue Gde Rue du Fbg St Georges,grande rue,du fbg saint georges,
Chemin Morne aux Coqs Voie N 1,chemin,morne aux coqs,voie n 1
Rue du 43eme R I C C à Vc 201,rue,du 43 eme r i c c a,vc 201
Rue de la Carrère Débat - Hameau de Cazaux Fréchet,rue,de la carrere debat,hameau de cazaux frechet
52 Route de Pont Lorois,route,de pont lorois,52
Le Paradis - Rue Eugène Laurenceau,rue,eugene laurenceau,le paradis
Rue de Putanges - Allée Q,rue,de putanges,allee q
Route des Dômes Vge Champille,route,des domes,vge champille
Rue de l’Aigle - Allée A,rue,de l aigle,allee a
chemin alfrede galey (vc 172),chemin,alfrede galey,vc 172
Allée Barbara - Résidence Pierre Delanoé,allee,barbara,residence pierre delanoe
Les Planes d'en Surroca - Rue Mas d'en Cot,rue,mas d en cot,les planes d en surroca
Voie Communale Res Auvergne Rue de Marque,rue,de marque,voie communale res auvergne
Residence les Annelles Rue Brasserie,rue,brasserie,residence les annelles
15Z1 Rue Albert Einstein,rue,albert einstein,15 z 1
693 route des Gaillanes,route,des gaillanes,693
49 rue de l'europe,rue,de l europe,49
Cite Schneider All D,cite,schneider,all d
Residence le Tortillard Rte de Waben,route,de waben,residence le tortillard
Chemin du Clos Résidence du Clos St Martin,chemin,du clos,residence du clos saint martin
Rue du Carignan - Résidence Marcelin Albert,rue,du carignan,residence marcelin albert
chemin des barelles (vc 128),chemin,des barelles,vc 128
Lieu dit Mazan Rue Traversière,rue,traversiere,lieu dit mazan
Chemin de la Vallee (voie privée),chemin,de la vallee,voie privee
chemin de la ferme (vc 207),chemin,de la ferme,vc 207
chemin de fabre a gavet * (vc 106),chemin,de fabre a gavet,vc 106
Chemin la Treize Voie 2,chemin,la treize,voie 2
Au Pignoulat rn 21,route nationale,21,au pignoulat
Residence Jardins d'Aurelis -bat G,residence,jardins d aurelis,bat g
Avenue de Dossenheim Bat Fregate Res Port Royal,avenue,de dossenheim,bat fregate res port royal
Lotissement le Gd Pre II - Chemin de l'échangeur,chemin,de l echangeur,lotissement le gd pre ii
Cité de Leuze Bat Archimede,cite,de leuze,bat archimede
Le Bourg Route de Quimper,route,de quimper,le bourg
Le Bourg Route de Fouesnant,route,de fouesnant,le bourg
La Ville Dom Rolland,domaine,rolland,la ville
La Carrière Rue des Traversiers,rue,des traversiers,la carriere
Residence Marina Di Borgu Bat F,residence,marina di borgu,bat f
1-chemin de Pen All,chemin,de pen all,1
Residence Jardins d'Aurelis -bat E,residence,jardins d aurelis,bat e
Pavillon 685 R Estingants,rue,estingants,pavillon 685
Résidence J Kennedy Rue Dr M l'King,rue,docteur m l king,residence j kennedy
N Rte Nationale,route nationale,,
Ancienne Route Nationale,ancienne route nationale,,
voies cité de montboucons,voies,cite de montboucons,
Ancien Chemin Anc Chem de Meaux,ancien chemin,de meaux,
Ancienne Route Nationale 7,ancienne route nationale,7,
Route nationale 122 la Maison Neuve,route nationale,122 la maison neuve,
Résidence St Gobain Rue Ing Bertin,rue,ing bertin,residence saint gobain
Ex route nationale 22,,ex route nationale 22,
Chemin du Moulin Bat-tout,chemin,du moulin bat tout,
N Route Nationale 86,route nationale,86,
Grande Rue Gde Rue de Paroy (paroy),grande rue,de paroy paroy,
Gde Rue de Macheville,grande rue,de macheville,
Petite Rue Nationale,petite rue,nationale,
N Route Nationale,route nationale,,
Chemin Pt Chem du Gaz,petit chemin,du gaz,
Ancienne Route Anc Rte St Cyr la Cadière,ancienne route,saint cyr la cadiere,
Route Nationale-le Faubourg,route nationale,le faubourg,
Les Villas du Bourg VOIE A,villas,du bourg,voie a
Les Pommiers Bras - Domaine de St-Denac,domaine,de saint denac,les pommiers bras
Résidence du Printemps Rue St Jean,rue,saint jean,residence du printemps
Chemin Vx Chem de Toulon,vieux chemin,de toulon,
Route Nationale-le Moulin,route nationale,le moulin,
Bat Picardie Rue de Picard,rue,de picard,batiment picardie
Imm Greco Rue St Claude,rue,saint claude,immeuble greco
Route Nationale 2 Basse Vallee,route nationale,2 basse vallee,
Imm Italie Bd de l'Europe,boulevard,de l europe,immeuble italie
Imm le Suisse Bd de l'Euro,boulevard,de l euro,immeuble le suisse
Rue B R Francaise 1789 1989,rue,b r francaise 1789 1989,
N Rn 74 Paray Monial à Sarre,route nationale,74 paray monial a sarre,
Route Nationale 2 Ravine Ango,route nationale,2 ravine ango,
Chass Val C Voltaire Rue 1,,chass val c voltaire,rue 1
Route de Saint-Andiol - R.D. 24,route,de saint andiol,r d 24
Sente de l’Anci Chemin de Paris,sente,de l anci de paris,
Rue P Bériot 197 Imp Cuisset,rue,p beriot,197 imp cuisset
Chemin Morne Pavillon,chemin,morne pavillon,
Rue du Pt Faubourg de Champagne,rue,du petit faubourg de champagne,
Chass Val C Voltaire Rue E,,chass val c voltaire,rue e
Ancienne Nationale 6,ancienne route nationale,6,
D'Rd 916,route departementale,916,
Cite Gd Camp Imm Cap Grammont,cite,grand camp,imm cap grammont
Ancienne Nationale,ancienne route nationale,,
Chemin du Pavillon Bois Aigu,chemin,du pavillon bois aigu,
rue Hain im Spessart,rue,hain im spessart,
Résidence green village golf des fontenelles,residence,green village,golf des fontenelles
Rue du Lot Ham Abon,rue,du lot ham abon,
Cour Zamia Voie B 1ere Ruelle,cour,zamia,voie b 1 ere ruelle
Voie Privée au n°2037 Chemin de Provence,chemin,de provence,voie privee au n 2037
Grosse Roche Avenue à Voie No1,avenue,grosse roche,a voie no 1
Residence Paul Louis Carion R Ju,residence,paul louis carion r ju,
Center Parcs - Hameau C,,center parcs,hameau c
Center Parcs - Hameau Y,,center parcs,hameau y
Ancienne RN7,ancienne route nationale,7,
Voie sans nom sans nom residence ferdinand flotte,residence,ferdinand flotte,voie sans nom sans nom
RD 3 route de Riscle à Marciac,route,de riscle a marciac,rd 3
Voie sans nom sans nom chemin du mauvais pas (2),chemin,du mauvais pas 2,voie sans nom sans nom
Voie sans nom sans nom andre zenatti ave de hambourg,avenue,de hambourg,voie sans nom sans nom andre zenatti
voie à créer (secteur 1216 rte de la tour),route,de la tour,1216 voie a créer
Cent Res Bellevue,,cent res bellevue,
Chem Bois N R Blanche Voie 1,chemin,bois nr blanche,Voie 1
